更新日期,更新時間,地區,個案數目,死亡個案
15/02/2020,23:59,深圳,414,0
15/02/2020,23:59,珠海,96,0
15/02/2020,23:59,汕頭,25,0
15/02/2020,23:59,佛山,84,0
15/02/2020,23:59,韶關,10,0
15/02/2020,23:59,梅州,16,0
15/02/2020,23:59,惠州,58,0
15/02/2020,23:59,汕尾,5,0
15/02/2020,23:59,東莞,89,1
15/02/2020,23:59,中山,65,0
15/02/2020,23:59,陽江,13,0
15/02/2020,23:59,湛江,22,0
15/02/2020,23:59,肇慶,17,1
15/02/2020,23:59,清遠,12,0
15/02/2020,23:59,揭陽,8,0
15/02/2020,23:59,河源,3,0
15/02/2020,23:59,江門,23,0
